time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143200057188923,0,0,0,0.00316331,0.003152,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200057843471,0,0,0,0.00316331,0.003152,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200059272201,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200071036716,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200072454764,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200073580767,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200073584269,0,0,0,0.00316331,0.003151,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200073584719,0,0,0,0.00316331,0.003151,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200074063262,0,0,0,0.00316331,0.003151,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200074064879,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200074065416,0,0,0,0.00316331,0.003151,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200076001668,0,0,0,0.00316331,0.003152,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200076002086,0,0,0,0.00316331,0.003152,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200077795959,0,0,0,0.00316331,0.003153,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200077798434,0,0,0,0.00316331,0.003154,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200077811542,0,0,0,0.00316331,0.003154,0.003158,0.00315449,0.00316202,0.0031502,0.0031638,
638143200087631486,0,0,0,0.00316331,0.003154,0.003157,0.00315449,0.00316202,0.0031502,0.0031638,
638143200094242441,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200104085361,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200104504233,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200111198470,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200111290887,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200139662465,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200151740572,0,0,0,0.00316331,0.003154,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200151799005,0,0,0,0.00316331,0.003155,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
638143200155882073,0,0,0,0.00316331,0.003155,0.003156,0.00315449,0.00316202,0.0031502,0.0031638,
